,volume_sales,title_names,author_names,publisher
50,"<td class=""left"" id=""table-cell-10943-50-3"" style=""color: #000000""> 1,108,328 </td>","<td class=""left"" id=""table-cell-10943-50-1"" style=""color: #000000""> Island,The </td>","<td class=""left"" id=""table-cell-10943-50-2"" style=""color: #000000""> Hislop, Victoria </td>","<td class=""left"" id=""table-cell-10943-50-4"" style=""color: #000000""> Headline </td>"
51,"<td class=""left"" id=""table-cell-10943-51-3"" style=""color: #000000""> 1,107,379 </td>","<td class=""left"" id=""table-cell-10943-51-1"" style=""color: #000000""> PS, I Love You </td>","<td class=""left"" id=""table-cell-10943-51-2"" style=""color: #000000""> Ahern, Cecelia </td>","<td class=""left"" id=""table-cell-10943-51-4"" style=""color: #000000""> HarperCollins </td>"
52,"<td class=""left"" id=""table-cell-10943-52-3"" style=""color: #000000""> 1,104,403 </td>","<td class=""left"" id=""table-cell-10943-52-1"" style=""color: #000000""> You are What You Eat:The Plan That Will Change Your Life </td>","<td class=""left"" id=""table-cell-10943-52-2"" style=""color: #000000""> McKeith, Gillian </td>","<td class=""left"" id=""table-cell-10943-52-4"" style=""color: #000000""> Penguin </td>"
53,"<td class=""left"" id=""table-cell-10943-53-3"" style=""color: #000000""> 1,092,349 </td>","<td class=""left"" id=""table-cell-10943-53-1"" style=""color: #000000""> Shadow of the Wind,The </td>","<td class=""left"" id=""table-cell-10943-53-2"" style=""color: #000000""> Zafon, Carlos Ruiz </td>","<td class=""left"" id=""table-cell-10943-53-4"" style=""color: #000000""> Orion </td>"
54,"<td class=""left"" id=""table-cell-10943-54-3"" style=""color: #000000""> 1,090,847 </td>","<td class=""left"" id=""table-cell-10943-54-1"" style=""color: #000000""> Tales of Beedle the Bard,The </td>","<td class=""left"" id=""table-cell-10943-54-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-54-4"" style=""color: #000000""> Bloomsbury </td>"
55,"<td class=""left"" id=""table-cell-10943-55-3"" style=""color: #000000""> 1,087,262 </td>","<td class=""left"" id=""table-cell-10943-55-1"" style=""color: #000000""> Broker,The </td>","<td class=""left"" id=""table-cell-10943-55-2"" style=""color: #000000""> Grisham, John </td>","<td class=""left"" id=""table-cell-10943-55-4"" style=""color: #000000""> Random House </td>"
56,"<td class=""left"" id=""table-cell-10943-56-3"" style=""color: #000000""> 1,054,196 </td>","<td class=""left"" id=""table-cell-10943-56-1"" style=""color: #000000""> Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P </td>","<td class=""left"" id=""table-cell-10943-56-2"" style=""color: #000000""> Atkins, Robert C. </td>","<td class=""left"" id=""table-cell-10943-56-4"" style=""color: #000000""> Random House </td>"
57,"<td class=""left"" id=""table-cell-10943-57-3"" style=""color: #000000""> 1,037,160 </td>","<td class=""left"" id=""table-cell-10943-57-1"" style=""color: #000000""> Subtle Knife,The:His Dark Materials S. </td>","<td class=""left"" id=""table-cell-10943-57-2"" style=""color: #000000""> Pullman, Philip </td>","<td class=""left"" id=""table-cell-10943-57-4"" style=""color: #000000""> Scholastic Ltd. </td>"
58,"<td class=""left"" id=""table-cell-10943-58-3"" style=""color: #000000""> 1,023,688 </td>","<td class=""left"" id=""table-cell-10943-58-1"" style=""color: #000000""> Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation </td>","<td class=""left"" id=""table-cell-10943-58-2"" style=""color: #000000""> Truss, Lynne </td>","<td class=""left"" id=""table-cell-10943-58-4"" style=""color: #000000""> Profile Books Group </td>"
59,"<td class=""left"" id=""table-cell-10943-59-3"" style=""color: #000000""> 1,015,956 </td>","<td class=""left"" id=""table-cell-10943-59-1"" style=""color: #000000""> Delia's How to Cook:(Bk.1) </td>","<td class=""left"" id=""table-cell-10943-59-2"" style=""color: #000000""> Smith, Delia </td>","<td class=""left"" id=""table-cell-10943-59-4"" style=""color: #000000""> Random House </td>"
60,"<td class=""left"" id=""table-cell-10943-60-3"" style=""color: #000000""> 1,009,873 </td>","<td class=""left"" id=""table-cell-10943-60-1"" style=""color: #000000""> Chocolat </td>","<td class=""left"" id=""table-cell-10943-60-2"" style=""color: #000000""> Harris, Joanne </td>","<td class=""left"" id=""table-cell-10943-60-4"" style=""color: #000000""> Transworld </td>"
61,"<td class=""left"" id=""table-cell-10943-61-3"" style=""color: #000000""> 1,004,414 </td>","<td class=""left"" id=""table-cell-10943-61-1"" style=""color: #000000""> Boy in the Striped Pyjamas,The </td>","<td class=""left"" id=""table-cell-10943-61-2"" style=""color: #000000""> Boyne, John </td>","<td class=""left"" id=""table-cell-10943-61-4"" style=""color: #000000""> Random House Childrens Books G </td>"
62,"<td class=""left"" id=""table-cell-10943-62-3"" style=""color: #000000""> 1,003,780 </td>","<td class=""left"" id=""table-cell-10943-62-1"" style=""color: #000000""> My Sister's Keeper </td>","<td class=""left"" id=""table-cell-10943-62-2"" style=""color: #000000""> Picoult, Jodi </td>","<td class=""left"" id=""table-cell-10943-62-4"" style=""color: #000000""> Hodder &amp; Stoughton </td>"
63,"<td class=""left"" id=""table-cell-10943-63-3"" style=""color: #000000""> 1,002,314 </td>","<td class=""left"" id=""table-cell-10943-63-1"" style=""color: #000000""> Amber Spyglass,The:His Dark Materials S. </td>","<td class=""left"" id=""table-cell-10943-63-2"" style=""color: #000000""> Pullman, Philip </td>","<td class=""left"" id=""table-cell-10943-63-4"" style=""color: #000000""> Scholastic Ltd. </td>"
64,"<td class=""left"" id=""table-cell-10943-64-3"" style=""color: #000000""> 998,213 </td>","<td class=""left"" id=""table-cell-10943-64-1"" style=""color: #000000""> To Kill a Mockingbird </td>","<td class=""left"" id=""table-cell-10943-64-2"" style=""color: #000000""> Lee, Harper </td>","<td class=""left"" id=""table-cell-10943-64-4"" style=""color: #000000""> Random House </td>"
65,"<td class=""left"" id=""table-cell-10943-65-3"" style=""color: #000000""> 992,846 </td>","<td class=""left"" id=""table-cell-10943-65-1"" style=""color: #000000""> Men are from Mars, Women are from Venus:A Practical Guide for Improvin </td>","<td class=""left"" id=""table-cell-10943-65-2"" style=""color: #000000""> Gray, John </td>","<td class=""left"" id=""table-cell-10943-65-4"" style=""color: #000000""> HarperCollins </td>"
66,"<td class=""left"" id=""table-cell-10943-66-3"" style=""color: #000000""> 986,753 </td>","<td class=""left"" id=""table-cell-10943-66-1"" style=""color: #000000""> Dear Fatty </td>","<td class=""left"" id=""table-cell-10943-66-2"" style=""color: #000000""> French, Dawn </td>","<td class=""left"" id=""table-cell-10943-66-4"" style=""color: #000000""> Random House </td>"
67,"<td class=""left"" id=""table-cell-10943-67-3"" style=""color: #000000""> 986,115 </td>","<td class=""left"" id=""table-cell-10943-67-1"" style=""color: #000000""> Short History of Tractors in Ukrainian,A </td>","<td class=""left"" id=""table-cell-10943-67-2"" style=""color: #000000""> Lewycka, Marina </td>","<td class=""left"" id=""table-cell-10943-67-4"" style=""color: #000000""> Penguin </td>"
68,"<td class=""left"" id=""table-cell-10943-68-3"" style=""color: #000000""> 970,509 </td>","<td class=""left"" id=""table-cell-10943-68-1"" style=""color: #000000""> Hannibal </td>","<td class=""left"" id=""table-cell-10943-68-2"" style=""color: #000000""> Harris, Thomas </td>","<td class=""left"" id=""table-cell-10943-68-4"" style=""color: #000000""> Random House </td>"
69,"<td class=""left"" id=""table-cell-10943-69-3"" style=""color: #000000""> 967,466 </td>","<td class=""left"" id=""table-cell-10943-69-1"" style=""color: #000000""> Lord of the Rings,The </td>","<td class=""left"" id=""table-cell-10943-69-2"" style=""color: #000000""> Tolkien, J. R. R. </td>","<td class=""left"" id=""table-cell-10943-69-4"" style=""color: #000000""> HarperCollins </td>"
70,"<td class=""left"" id=""table-cell-10943-70-3"" style=""color: #000000""> 963,353 </td>","<td class=""left"" id=""table-cell-10943-70-1"" style=""color: #000000""> Stupid White Men:...and Other Sorry Excuses for the State of the Natio </td>","<td class=""left"" id=""table-cell-10943-70-2"" style=""color: #000000""> Moore, Michael </td>","<td class=""left"" id=""table-cell-10943-70-4"" style=""color: #000000""> Penguin </td>"
71,"<td class=""left"" id=""table-cell-10943-71-3"" style=""color: #000000""> 962,515 </td>","<td class=""left"" id=""table-cell-10943-71-1"" style=""color: #000000""> Interpretation of Murder,The </td>","<td class=""left"" id=""table-cell-10943-71-2"" style=""color: #000000""> Rubenfeld, Jed </td>","<td class=""left"" id=""table-cell-10943-71-4"" style=""color: #000000""> Headline </td>"
72,"<td class=""left"" id=""table-cell-10943-72-3"" style=""color: #000000""> 959,496 </td>","<td class=""left"" id=""table-cell-10943-72-1"" style=""color: #000000""> Sharon Osbourne Extreme:My Autobiography </td>","<td class=""left"" id=""table-cell-10943-72-2"" style=""color: #000000""> Osbourne, Sharon </td>","<td class=""left"" id=""table-cell-10943-72-4"" style=""color: #000000""> Little, Brown Book </td>"
73,"<td class=""left"" id=""table-cell-10943-73-3"" style=""color: #000000""> 956,114 </td>","<td class=""left"" id=""table-cell-10943-73-1"" style=""color: #000000""> Alchemist,The:A Fable About Following Your Dream </td>","<td class=""left"" id=""table-cell-10943-73-2"" style=""color: #000000""> Coelho, Paulo </td>","<td class=""left"" id=""table-cell-10943-73-4"" style=""color: #000000""> HarperCollins </td>"
74,"<td class=""left"" id=""table-cell-10943-74-3"" style=""color: #000000""> 945,640 </td>","<td class=""left"" id=""table-cell-10943-74-1"" style=""color: #000000""> At My Mother's Knee ...:and Other Low Joints </td>","<td class=""left"" id=""table-cell-10943-74-2"" style=""color: #000000""> O'Grady, Paul </td>","<td class=""left"" id=""table-cell-10943-74-4"" style=""color: #000000""> Transworld </td>"
75,"<td class=""left"" id=""table-cell-10943-75-3"" style=""color: #000000""> 931,312 </td>","<td class=""left"" id=""table-cell-10943-75-1"" style=""color: #000000""> Notes from a Small Island </td>","<td class=""left"" id=""table-cell-10943-75-2"" style=""color: #000000""> Bryson, Bill </td>","<td class=""left"" id=""table-cell-10943-75-4"" style=""color: #000000""> Transworld </td>"
76,"<td class=""left"" id=""table-cell-10943-76-3"" style=""color: #000000""> 925,425 </td>","<td class=""left"" id=""table-cell-10943-76-1"" style=""color: #000000""> Return of the Naked Chef,The </td>","<td class=""left"" id=""table-cell-10943-76-2"" style=""color: #000000""> Oliver, Jamie </td>","<td class=""left"" id=""table-cell-10943-76-4"" style=""color: #000000""> Penguin </td>"
77,"<td class=""left"" id=""table-cell-10943-77-3"" style=""color: #000000""> 924,695 </td>","<td class=""left"" id=""table-cell-10943-77-1"" style=""color: #000000""> Bridget Jones: The Edge of Reason </td>","<td class=""left"" id=""table-cell-10943-77-2"" style=""color: #000000""> Fielding, Helen </td>","<td class=""left"" id=""table-cell-10943-77-4"" style=""color: #000000""> Pan Macmillan </td>"
78,"<td class=""left"" id=""table-cell-10943-78-3"" style=""color: #000000""> 906,968 </td>","<td class=""left"" id=""table-cell-10943-78-1"" style=""color: #000000""> Jamie's Italy </td>","<td class=""left"" id=""table-cell-10943-78-2"" style=""color: #000000""> Oliver, Jamie </td>","<td class=""left"" id=""table-cell-10943-78-4"" style=""color: #000000""> Penguin </td>"
79,"<td class=""left"" id=""table-cell-10943-79-3"" style=""color: #000000""> 905,086 </td>","<td class=""left"" id=""table-cell-10943-79-1"" style=""color: #000000""> I Can Make You Thin </td>","<td class=""left"" id=""table-cell-10943-79-2"" style=""color: #000000""> McKenna, Paul </td>","<td class=""left"" id=""table-cell-10943-79-4"" style=""color: #000000""> Transworld </td>"
80,"<td class=""left"" id=""table-cell-10943-80-3"" style=""color: #000000""> 890,847 </td>","<td class=""left"" id=""table-cell-10943-80-1"" style=""color: #000000""> Down Under </td>","<td class=""left"" id=""table-cell-10943-80-2"" style=""color: #000000""> Bryson, Bill </td>","<td class=""left"" id=""table-cell-10943-80-4"" style=""color: #000000""> Transworld </td>"
81,"<td class=""left"" id=""table-cell-10943-81-3"" style=""color: #000000""> 869,671 </td>","<td class=""left"" id=""table-cell-10943-81-1"" style=""color: #000000""> Summons,The </td>","<td class=""left"" id=""table-cell-10943-81-2"" style=""color: #000000""> Grisham, John </td>","<td class=""left"" id=""table-cell-10943-81-4"" style=""color: #000000""> Random House </td>"
82,"<td class=""left"" id=""table-cell-10943-82-3"" style=""color: #000000""> 869,659 </td>","<td class=""left"" id=""table-cell-10943-82-1"" style=""color: #000000""> Small Island </td>","<td class=""left"" id=""table-cell-10943-82-2"" style=""color: #000000""> Levy, Andrea </td>","<td class=""left"" id=""table-cell-10943-82-4"" style=""color: #000000""> Headline </td>"
83,"<td class=""left"" id=""table-cell-10943-83-3"" style=""color: #000000""> 862,602 </td>","<td class=""left"" id=""table-cell-10943-83-1"" style=""color: #000000""> Nigella Express </td>","<td class=""left"" id=""table-cell-10943-83-2"" style=""color: #000000""> Lawson, Nigella </td>","<td class=""left"" id=""table-cell-10943-83-4"" style=""color: #000000""> Random House </td>"
84,"<td class=""left"" id=""table-cell-10943-84-3"" style=""color: #000000""> 856,540 </td>","<td class=""left"" id=""table-cell-10943-84-1"" style=""color: #000000""> Brick Lane </td>","<td class=""left"" id=""table-cell-10943-84-2"" style=""color: #000000""> Ali, Monica </td>","<td class=""left"" id=""table-cell-10943-84-4"" style=""color: #000000""> Transworld </td>"
85,"<td class=""left"" id=""table-cell-10943-85-3"" style=""color: #000000""> 845,858 </td>","<td class=""left"" id=""table-cell-10943-85-1"" style=""color: #000000""> Memory Keeper's Daughter,The </td>","<td class=""left"" id=""table-cell-10943-85-2"" style=""color: #000000""> Edwards, Kim </td>","<td class=""left"" id=""table-cell-10943-85-4"" style=""color: #000000""> Penguin </td>"
86,"<td class=""left"" id=""table-cell-10943-86-3"" style=""color: #000000""> 842,535 </td>","<td class=""left"" id=""table-cell-10943-86-1"" style=""color: #000000""> Room on the Broom </td>","<td class=""left"" id=""table-cell-10943-86-2"" style=""color: #000000""> Donaldson, Julia </td>","<td class=""left"" id=""table-cell-10943-86-4"" style=""color: #000000""> Pan Macmillan </td>"
87,"<td class=""left"" id=""table-cell-10943-87-3"" style=""color: #000000""> 828,215 </td>","<td class=""left"" id=""table-cell-10943-87-1"" style=""color: #000000""> About a Boy </td>","<td class=""left"" id=""table-cell-10943-87-2"" style=""color: #000000""> Hornby, Nick </td>","<td class=""left"" id=""table-cell-10943-87-4"" style=""color: #000000""> Penguin </td>"
88,"<td class=""left"" id=""table-cell-10943-88-3"" style=""color: #000000""> 820,563 </td>","<td class=""left"" id=""table-cell-10943-88-1"" style=""color: #000000""> My Booky Wook </td>","<td class=""left"" id=""table-cell-10943-88-2"" style=""color: #000000""> Brand, Russell </td>","<td class=""left"" id=""table-cell-10943-88-4"" style=""color: #000000""> Hodder &amp; Stoughton </td>"
89,"<td class=""left"" id=""table-cell-10943-89-3"" style=""color: #000000""> 816,907 </td>","<td class=""left"" id=""table-cell-10943-89-1"" style=""color: #000000""> God Delusion,The </td>","<td class=""left"" id=""table-cell-10943-89-2"" style=""color: #000000""> Dawkins, Richard </td>","<td class=""left"" id=""table-cell-10943-89-4"" style=""color: #000000""> Transworld </td>"
90,"<td class=""left"" id=""table-cell-10943-90-3"" style=""color: #000000""> 816,585 </td>","<td class=""left"" id=""table-cell-10943-90-1"" style=""color: #000000""> ""Beano"" Annual,The </td>","<td class=""left"" id=""table-cell-10943-90-2"" style=""color: #000000""> 0 </td>","<td class=""left"" id=""table-cell-10943-90-4"" style=""color: #000000""> D.C. Thomson </td>"
91,"<td class=""left"" id=""table-cell-10943-91-3"" style=""color: #000000""> 815,586 </td>","<td class=""left"" id=""table-cell-10943-91-1"" style=""color: #000000""> White Teeth </td>","<td class=""left"" id=""table-cell-10943-91-2"" style=""color: #000000""> Smith, Zadie </td>","<td class=""left"" id=""table-cell-10943-91-4"" style=""color: #000000""> Penguin </td>"
92,"<td class=""left"" id=""table-cell-10943-92-3"" style=""color: #000000""> 814,370 </td>","<td class=""left"" id=""table-cell-10943-92-1"" style=""color: #000000""> House at Riverton,The </td>","<td class=""left"" id=""table-cell-10943-92-2"" style=""color: #000000""> Morton, Kate </td>","<td class=""left"" id=""table-cell-10943-92-4"" style=""color: #000000""> Pan Macmillan </td>"
93,"<td class=""left"" id=""table-cell-10943-93-3"" style=""color: #000000""> 809,641 </td>","<td class=""left"" id=""table-cell-10943-93-1"" style=""color: #000000""> Book Thief,The </td>","<td class=""left"" id=""table-cell-10943-93-2"" style=""color: #000000""> Zusak, Markus </td>","<td class=""left"" id=""table-cell-10943-93-4"" style=""color: #000000""> Transworld </td>"
94,"<td class=""left"" id=""table-cell-10943-94-3"" style=""color: #000000""> 808,900 </td>","<td class=""left"" id=""table-cell-10943-94-1"" style=""color: #000000""> Nights of Rain and Stars </td>","<td class=""left"" id=""table-cell-10943-94-2"" style=""color: #000000""> Binchy, Maeve </td>","<td class=""left"" id=""table-cell-10943-94-4"" style=""color: #000000""> Orion </td>"
95,"<td class=""left"" id=""table-cell-10943-95-3"" style=""color: #000000""> 807,311 </td>","<td class=""left"" id=""table-cell-10943-95-1"" style=""color: #000000""> Ghost,The </td>","<td class=""left"" id=""table-cell-10943-95-2"" style=""color: #000000""> Harris, Robert </td>","<td class=""left"" id=""table-cell-10943-95-4"" style=""color: #000000""> Random House </td>"
96,"<td class=""left"" id=""table-cell-10943-96-3"" style=""color: #000000""> 794,201 </td>","<td class=""left"" id=""table-cell-10943-96-1"" style=""color: #000000""> Happy Days with the Naked Chef </td>","<td class=""left"" id=""table-cell-10943-96-2"" style=""color: #000000""> Oliver, Jamie </td>","<td class=""left"" id=""table-cell-10943-96-4"" style=""color: #000000""> Penguin </td>"
97,"<td class=""left"" id=""table-cell-10943-97-3"" style=""color: #000000""> 792,187 </td>","<td class=""left"" id=""table-cell-10943-97-1"" style=""color: #000000""> Hunger Games,The:Hunger Games Trilogy </td>","<td class=""left"" id=""table-cell-10943-97-2"" style=""color: #000000""> Collins, Suzanne </td>","<td class=""left"" id=""table-cell-10943-97-4"" style=""color: #000000""> Scholastic Ltd. </td>"
98,"<td class=""left"" id=""table-cell-10943-98-3"" style=""color: #000000""> 791,507 </td>","<td class=""left"" id=""table-cell-10943-98-1"" style=""color: #000000""> Lost Boy,The:A Foster Child's Search for the Love of a Family </td>","<td class=""left"" id=""table-cell-10943-98-2"" style=""color: #000000""> Pelzer, Dave </td>","<td class=""left"" id=""table-cell-10943-98-4"" style=""color: #000000""> Orion </td>"
99,"<td class=""left"" id=""table-cell-10943-99-3"" style=""color: #000000""> 791,095 </td>","<td class=""left"" id=""table-cell-10943-99-1"" style=""color: #000000""> Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours </td>","<td class=""left"" id=""table-cell-10943-99-2"" style=""color: #000000""> Oliver, Jamie </td>","<td class=""left"" id=""table-cell-10943-99-4"" style=""color: #000000""> Penguin </td>"
